year,id_,childs,educ,degree,partyid,polviews,gunlaw,owngun,ballot
2024,179,3,6 years of college,Graduate,Strong democrat,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,180,2,3 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,181,0,4 years of college,Bachelor's,"Independent (neither, no response)",Slightly liberal,FAVOR,YES,Ballot a
2024,182,0,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,183,0,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,NO,Ballot a
2024,184,0,8 or more years of college,Graduate,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,185,1,6 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,186,1,4 years of college,Bachelor's,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,187,1,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,188,1,4 years of college,Graduate,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,189,2,4 years of college,Bachelor's,Strong democrat,Slightly conservative,FAVOR,NO,Ballot c
2024,190,1,7 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,191,0,4 years of college,Graduate,Other party,.s:  Skipped on Web,OPPOSE,NO,Ballot a
2024,192,1,8 or more years of college,Graduate,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,193,2,6 years of college,Graduate,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,194,2,3 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,195,2,4 years of college,Bachelor's,Not very strong democrat,Extremely liberal,FAVOR,YES,Ballot a
2024,196,0,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,197,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,198,0,12th grade,High school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,199,3,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,200,0,9th grade,High school,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,201,0,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,202,2,8 or more years of college,Graduate,.n:  No answer,.s:  Skipped on Web,FAVOR,NO,Ballot c
2024,203,2,3 years of college,High school,"Independent, close to republican",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,204,0,1 year of college,Less than high school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,205,3,3 years of college,High school,Strong republican,Extremely conservative,OPPOSE,NO,Ballot a
2024,206,3,1st grade,Less than high school,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,207,1,2 years of college,High school,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,208,2,6th grade,Less than high school,"Independent (neither, no response)",Slightly liberal,FAVOR,NO,Ballot a
2024,209,4,5 years of college,Bachelor's,Strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,210,0,12th grade,High school,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,211,1,12th grade,High school,Not very strong republican,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,212,0,12th grade,High school,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,213,2,4 years of college,Bachelor's,Strong republican,Conservative,FAVOR,YES,Ballot c
2024,214,0,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,215,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,216,2,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,217,0,6 years of college,Bachelor's,Other party,Extremely liberal,OPPOSE,NO,Ballot a
2024,218,2,2 years of college,High school,Not very strong democrat,Slightly liberal,FAVOR,YES,Ballot c
2024,219,1,12th grade,High school,"Independent, close to democrat",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,220,5,4 years of college,Bachelor's,Strong democrat,Extremely liberal,OPPOSE,NO,Ballot c
2024,221,0,3 years of college,High school,"Independent, close to democrat",Extremely liberal,OPPOSE,NO,Ballot a
2024,222,0,11th grade,High school,"Independent, close to republican",Slightly conservative,FAVOR,NO,Ballot a
2024,223,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,224,5,12th grade,High school,"Independent (neither, no response)",Conservative,FAVOR,NO,Ballot c
2024,225,0,11th grade,Less than high school,Other party,.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot c
2024,226,1,2 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,227,2,5 years of college,Associate/junior college,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,228,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,229,3,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,230,0,6 years of college,High school,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,231,0,6 years of college,Graduate,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,232,3,2 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,233,1,2 years of college,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,234,0,4 years of college,Graduate,Not very strong republican,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,235,2,2 years of college,Associate/junior college,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,236,0,6 years of college,Graduate,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,237,1,5 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,YES,Ballot c
2024,238,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,239,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,240,4,5 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,241,2,12th grade,High school,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,242,2,12th grade,High school,Not very strong democrat,Conservative,FAVOR,NO,Ballot c
2024,243,3,12th grade,Less than high school,"Independent (neither, no response)",Liberal,OPPOSE,NO,Ballot a
2024,244,3,12th grade,Less than high school,.n:  No answer,.n:  No answer,.n:  No answer,NO,Ballot a
2024,245,6,11th grade,Less than high school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot c
2024,246,3,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,247,0,5 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,248,2,10th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,249,1,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,250,0,2 years of college,High school,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
